|   batch_size |   num_heads |   num_heads_k |   head_size |   seqlen_q |   seqlen_k |   hexcute |   triton |   flash-atten |
|--------------|-------------|---------------|-------------|------------|------------|-----------|----------|---------------|
|            1 |          16 |            16 |          64 |        512 |        512 |     0.015 |    0.090 |         0.041 |
|            1 |          16 |            16 |          64 |       1024 |       1024 |     0.032 |    0.091 |         0.042 |
|            1 |          16 |            16 |          64 |       2048 |       2048 |     0.081 |    0.117 |         0.070 |
|            1 |          16 |            16 |          64 |       4096 |       4096 |     0.247 |    0.379 |         0.252 |
|            1 |          16 |            16 |          64 |      16384 |      16384 |     3.143 |    4.343 |         2.861 |
|            1 |          16 |            16 |         128 |        512 |        512 |     0.015 |    0.090 |         0.042 |
|            1 |          16 |            16 |         128 |       1024 |       1024 |     0.043 |    0.091 |         0.042 |
|            1 |          16 |            16 |         128 |       2048 |       2048 |     0.117 |    0.199 |         0.099 |
|            1 |          16 |            16 |         128 |       4096 |       4096 |     0.345 |    0.628 |         0.297 |
|            1 |          16 |            16 |         128 |      16384 |      16384 |     4.798 |    8.595 |         4.228 |
|            1 |          32 |            32 |          64 |        512 |        512 |     0.021 |    0.091 |         0.041 |
|            1 |          32 |            32 |          64 |       1024 |       1024 |     0.046 |    0.091 |         0.043 |
|            1 |          32 |            32 |          64 |       2048 |       2048 |     0.137 |    0.202 |         0.136 |
|            1 |          32 |            32 |          64 |       4096 |       4096 |     0.449 |    0.631 |         0.432 |
|            1 |          32 |            32 |          64 |      16384 |      16384 |     6.290 |    8.759 |         5.676 |
|            1 |          32 |            32 |         128 |        512 |        512 |     0.028 |    0.089 |         0.042 |
|            1 |          32 |            32 |         128 |       1024 |       1024 |     0.068 |    0.106 |         0.056 |
|            1 |          32 |            32 |         128 |       2048 |       2048 |     0.194 |    0.330 |         0.163 |
|            1 |          32 |            32 |         128 |       4096 |       4096 |     0.615 |    1.117 |         0.539 |
|            1 |          32 |            32 |         128 |      16384 |      16384 |     9.686 |   17.308 |         8.565 |
