|   batch_size |   num_heads |   num_heads_k |   head_size |   seqlen_q |   seqlen_k |   hexcute |   triton |   flash-atten |
|--------------|-------------|---------------|-------------|------------|------------|-----------|----------|---------------|
|            1 |          16 |            16 |          64 |        512 |        512 |     0.035 |    0.148 |         0.137 |
|            1 |          16 |            16 |          64 |       1024 |       1024 |     0.041 |    0.150 |         0.137 |
|            1 |          16 |            16 |          64 |       2048 |       2048 |     0.119 |    0.149 |         0.144 |
|            1 |          16 |            16 |          64 |       4096 |       4096 |     0.415 |    0.413 |         0.404 |
|            1 |          16 |            16 |          64 |      16384 |      16384 |     6.118 |    6.034 |         5.984 |
|            1 |          16 |            16 |         128 |        512 |        512 |     0.039 |    0.140 |         0.149 |
|            1 |          16 |            16 |         128 |       1024 |       1024 |     0.067 |    0.151 |         0.144 |
|            1 |          16 |            16 |         128 |       2048 |       2048 |     0.210 |    0.256 |         0.213 |
|            1 |          16 |            16 |         128 |       4096 |       4096 |     0.760 |    0.861 |         0.681 |
|            1 |          16 |            16 |         128 |      16384 |      16384 |    10.997 |   14.051 |        10.441 |
|            1 |          32 |            32 |          64 |        512 |        512 |     0.039 |    0.138 |         0.138 |
|            1 |          32 |            32 |          64 |       1024 |       1024 |     0.064 |    0.150 |         0.137 |
|            1 |          32 |            32 |          64 |       2048 |       2048 |     0.216 |    0.216 |         0.212 |
|            1 |          32 |            32 |          64 |       4096 |       4096 |     0.817 |    0.815 |         0.799 |
|            1 |          32 |            32 |          64 |      16384 |      16384 |    12.167 |   12.083 |        11.915 |
|            1 |          32 |            32 |         128 |        512 |        512 |     0.039 |    0.149 |         0.137 |
|            1 |          32 |            32 |         128 |       1024 |       1024 |     0.114 |    0.149 |         0.149 |
|            1 |          32 |            32 |         128 |       2048 |       2048 |     0.392 |    0.446 |         0.355 |
|            1 |          32 |            32 |         128 |       4096 |       4096 |     1.445 |    1.706 |         1.350 |
|            1 |          32 |            32 |         128 |      16384 |      16384 |    21.820 |   25.197 |        20.764 |
