|   batch_size |   num_heads |   num_heads_k |   head_size |   seqlen_q |   seqlen_k |   hexcute |   flash-atten |   flashinfer |   triton |   bandwidth_hexcute |   bandwidth_flash_atten |   bandwidth_flash_infer |   bandwidth_triton |
|--------------|-------------|---------------|-------------|------------|------------|-----------|---------------|--------------|----------|---------------------|-------------------------|-------------------------|--------------------|
|            1 |          32 |            32 |          64 |          1 |       1024 |     0.018 |         0.023 |        0.021 |    0.106 |             471.205 |                 358.975 |                 404.482 |             79.084 |
|            1 |          32 |            32 |          64 |          1 |       2048 |     0.025 |         0.031 |        0.027 |    0.102 |             659.324 |                 539.759 |                 614.840 |            165.328 |
|            1 |          32 |            32 |          64 |          1 |       4096 |     0.041 |         0.045 |        0.042 |    0.098 |             815.197 |                 748.025 |                 802.394 |            342.834 |
|            1 |          32 |            32 |          64 |          1 |      16384 |     0.102 |         0.108 |        0.104 |    0.112 |            1313.784 |                1244.983 |                1291.965 |           1203.805 |
|            1 |          32 |            32 |          64 |          1 |      32768 |     0.177 |         0.184 |        0.179 |    0.189 |            1514.143 |                1460.600 |                1499.864 |           1420.924 |
|            1 |          32 |            32 |          64 |          1 |      65536 |     0.328 |         0.338 |        0.331 |    0.344 |            1635.507 |                1587.184 |                1624.250 |           1559.710 |
|            1 |          32 |            32 |         128 |          1 |       1024 |     0.025 |         0.030 |        0.027 |    0.108 |             684.969 |                 552.547 |                 620.620 |            155.879 |
|            1 |          32 |            32 |         128 |          1 |       2048 |     0.038 |         0.044 |        0.041 |    0.108 |             874.882 |                 757.622 |                 827.490 |            309.978 |
|            1 |          32 |            32 |         128 |          1 |       4096 |     0.061 |         0.069 |        0.063 |    0.107 |            1097.585 |                 972.558 |                1066.867 |            625.028 |
|            1 |          32 |            32 |         128 |          1 |      16384 |     0.173 |         0.182 |        0.173 |    0.180 |            1551.723 |                1475.706 |                1547.961 |           1489.545 |
|            1 |          32 |            32 |         128 |          1 |      32768 |     0.334 |         0.346 |        0.328 |    0.332 |            1605.253 |                1552.861 |                1637.958 |           1618.789 |
|            1 |          32 |            32 |         128 |          1 |      65536 |     0.638 |         0.659 |        0.629 |    0.677 |            1683.028 |                1629.471 |                1706.849 |           1587.016 |
|            1 |          16 |            16 |          64 |          1 |       1024 |     0.015 |         0.019 |        0.016 |    0.090 |             279.074 |                 222.016 |                 261.037 |             46.759 |
|            1 |          16 |            16 |          64 |          1 |       2048 |     0.019 |         0.024 |        0.021 |    0.094 |             438.886 |                 344.349 |                 405.526 |             89.696 |
|            1 |          16 |            16 |          64 |          1 |       4096 |     0.027 |         0.032 |        0.027 |    0.099 |             616.782 |                 529.770 |                 611.918 |            170.103 |
|            1 |          16 |            16 |          64 |          1 |      16384 |     0.067 |         0.072 |        0.065 |    0.099 |            1004.764 |                 932.243 |                1035.605 |            680.155 |
|            1 |          16 |            16 |          64 |          1 |      32768 |     0.104 |         0.110 |        0.103 |    0.117 |            1295.281 |                1217.361 |                1302.445 |           1149.910 |
|            1 |          16 |            16 |          64 |          1 |      65536 |     0.179 |         0.186 |        0.179 |    0.201 |            1497.956 |                1445.812 |                1503.422 |           1334.402 |
|            1 |          16 |            16 |         128 |          1 |       1024 |     0.018 |         0.024 |        0.018 |    0.098 |             477.891 |                 342.971 |                 467.451 |             85.622 |
|            1 |          16 |            16 |         128 |          1 |       2048 |     0.025 |         0.032 |        0.027 |    0.108 |             663.636 |                 530.359 |                 620.220 |            156.084 |
|            1 |          16 |            16 |         128 |          1 |       4096 |     0.040 |         0.046 |        0.040 |    0.118 |             836.068 |                 735.127 |                 847.049 |            284.236 |
|            1 |          16 |            16 |         128 |          1 |      16384 |     0.100 |         0.107 |        0.099 |    0.115 |            1344.458 |                1252.891 |                1359.346 |           1163.610 |
|            1 |          16 |            16 |         128 |          1 |      32768 |     0.174 |         0.183 |        0.173 |    0.189 |            1539.024 |                1470.259 |                1550.685 |           1420.288 |
|            1 |          16 |            16 |         128 |          1 |      65536 |     0.331 |         0.346 |        0.325 |    0.347 |            1624.048 |                1549.451 |                1650.929 |           1547.074 |
