|   num_tokens |   triton |   marlin |   hexcute |
|--------------|----------|----------|-----------|
|            1 |    0.394 |    0.272 |     0.251 |
|            2 |    1.061 |    0.275 |     0.255 |
|            4 |    1.615 |    0.270 |     0.260 |
|            8 |    2.644 |    0.284 |     0.262 |
|           16 |    4.322 |    0.282 |     0.283 |
|           24 |    6.254 |    0.321 |     0.335 |
|           32 |    6.556 |    0.353 |     0.376 |
|           40 |    7.416 |    0.375 |     0.403 |
|           48 |    7.576 |    0.406 |     0.432 |
|           56 |    8.526 |    0.438 |     0.468 |
|           64 |    8.575 |    0.444 |     0.480 |
|          128 |    9.668 |    0.520 |     0.565 |
|         2048 |   15.099 |    1.814 |     1.747 |
|         4096 |   25.027 |    3.160 |     3.112 |
|         8192 |   44.752 |    5.881 |     5.689 |
|        16384 |   83.884 |   11.292 |    10.990 |
