|   num_tokens |   triton |   marlin |   hexcute |
|--------------|----------|----------|-----------|
|            1 |    0.408 |    0.272 |     0.267 |
|            2 |    1.081 |    0.274 |     0.263 |
|            4 |    1.614 |    0.271 |     0.266 |
|            8 |    2.656 |    0.280 |     0.263 |
|           16 |    4.307 |    0.276 |     0.434 |
|           24 |    5.386 |    0.297 |     0.579 |
|           32 |    6.822 |    0.352 |     0.646 |
|           40 |    7.460 |    0.384 |     0.759 |
|           48 |    8.404 |    0.426 |     0.799 |
|           56 |    8.320 |    0.418 |     0.791 |
|           64 |    8.640 |    0.444 |     0.836 |
|          128 |    9.682 |    0.520 |     0.983 |
|         2048 |   15.051 |    1.802 |     2.671 |
|         4096 |   25.052 |    3.156 |     4.818 |
|         8192 |   44.764 |    5.881 |     8.785 |
|        16384 |   83.983 |   11.333 |    16.740 |
