|   num_tokens |   triton |   marlin |   hexcute |
|--------------|----------|----------|-----------|
|            1 |    0.404 |    0.269 |     0.263 |
|            2 |    1.078 |    0.273 |     0.274 |
|            4 |    1.588 |    0.271 |     0.262 |
|            8 |    2.678 |    0.279 |     0.259 |
|           16 |    4.232 |    0.278 |     0.354 |
|           24 |    5.473 |    0.306 |     0.429 |
|           32 |    6.571 |    0.352 |     0.509 |
|           40 |    7.493 |    0.386 |     0.568 |
|           48 |    7.566 |    0.405 |     0.588 |
|           56 |    8.469 |    0.437 |     0.639 |
|           64 |    8.467 |    0.437 |     0.641 |
|          128 |    9.635 |    0.515 |     0.780 |
|         2048 |   15.152 |    1.831 |     2.288 |
|         4096 |   25.054 |    3.155 |     3.987 |
|         8192 |   44.747 |    5.880 |     7.234 |
|        16384 |   83.807 |   11.298 |    13.619 |
