|   num_tokens |   triton |   marlin |   hexcute |
|--------------|----------|----------|-----------|
|            1 |    0.412 |    1.705 |     0.268 |
|            2 |    0.995 |    2.199 |     0.264 |
|            4 |    1.448 |    3.047 |     0.274 |
|            8 |    2.400 |    4.523 |     0.276 |
|           16 |    3.963 |    7.559 |     0.297 |
|           24 |    5.291 |   16.504 |     0.315 |
|           32 |    6.249 |   18.791 |     0.352 |
|           40 |    7.330 |   22.071 |     0.409 |
|           48 |    3.187 |   23.954 |     0.441 |
|           56 |    3.319 |   25.681 |     0.474 |
|           64 |    3.301 |   25.432 |     0.471 |
|          128 |    3.744 |   29.153 |     0.555 |
|         2048 |    5.807 |   60.807 |     1.740 |
|         4096 |    9.485 |   55.152 |     3.101 |
|         8192 |   16.671 |   92.810 |     5.706 |
|        16384 |   31.277 |  159.930 |    10.938 |
