| batch_sizexseqlen   |    CUDA |   hexcute |
|---------------------|---------|-----------|
| 1x1024              |   0.914 |     0.685 |
| 1x2048              |   1.739 |     1.313 |
| 1x4096              |   3.233 |     2.545 |
| 1x10000             |   8.315 |     6.114 |
| 4x1024              |   5.870 |     0.925 |
| 4x2048              |   6.419 |     1.771 |
| 4x4096              |  12.588 |     3.468 |
| 4x10000             |  32.826 |     8.352 |
| 8x1024              |  11.586 |     1.528 |
| 8x2048              |  12.742 |     2.959 |
| 8x4096              |  26.211 |     5.825 |
| 8x10000             |  69.202 |    14.088 |
| 32x1024             |  48.338 |     5.213 |
| 32x2048             |  53.795 |    10.259 |
| 32x4096             | 105.904 |    20.343 |
| 32x10000            | 289.987 |    49.408 |
| 64x1024             |  97.918 |     9.923 |
| 64x2048             | 108.015 |    19.575 |
| 64x4096             | 232.329 |    38.943 |
| 64x10000            | 570.930 |    94.503 |
