| problem(m,n,k,l)       |   cublas |   triton |   hexcute |   flops_cublas |   flops_triton |   flops_hexcute |
|------------------------|----------|----------|-----------|----------------|----------------|-----------------|
| (32, 6144, 4096, 1)    |    0.037 |    0.117 |     0.035 |         43.761 |         13.709 |          45.580 |
| (32, 4096, 14336, 1)   |    0.077 |    0.135 |     0.078 |         48.674 |         27.757 |          47.930 |
| (32, 14336, 4096, 1)   |    0.078 |    0.118 |     0.073 |         48.271 |         31.763 |          51.634 |
| (32, 4096, 4096, 1)    |    0.023 |    0.119 |     0.026 |         47.297 |          8.991 |          41.939 |
| (32, 10240, 8192, 1)   |    0.104 |    0.119 |     0.104 |         51.416 |         44.988 |          51.798 |
| (32, 8192, 28672, 1)   |    0.276 |    0.279 |     0.283 |         54.536 |         53.886 |          53.159 |
| (32, 8192, 8192, 1)    |    0.085 |    0.121 |     0.084 |         50.798 |         35.620 |          51.241 |
| (32, 28672, 8192, 1)   |    0.310 |    0.273 |     0.274 |         48.552 |         55.084 |          54.950 |
| (64, 6144, 4096, 1)    |    0.039 |    0.120 |     0.037 |         83.061 |         26.869 |          87.613 |
| (64, 4096, 14336, 1)   |    0.079 |    0.136 |     0.079 |         94.545 |         55.144 |          95.205 |
| (64, 14336, 4096, 1)   |    0.080 |    0.120 |     0.077 |         93.692 |         62.883 |          97.474 |
| (64, 4096, 4096, 1)    |    0.024 |    0.122 |     0.026 |         88.245 |         17.592 |          82.752 |
| (64, 10240, 8192, 1)   |    0.106 |    0.120 |     0.106 |        101.383 |         89.814 |         101.523 |
| (64, 8192, 28672, 1)   |    0.280 |    0.288 |     0.288 |        107.275 |        104.467 |         104.482 |
| (64, 8192, 8192, 1)    |    0.086 |    0.119 |     0.087 |         99.586 |         72.151 |          98.791 |
| (64, 28672, 8192, 1)   |    0.316 |    0.316 |     0.304 |         95.141 |         95.008 |          98.967 |
| (128, 6144, 4096, 1)   |    0.049 |    0.120 |     0.042 |        131.352 |         53.769 |         151.876 |
| (128, 4096, 14336, 1)  |    0.101 |    0.120 |     0.108 |        148.141 |        125.406 |         139.544 |
| (128, 14336, 4096, 1)  |    0.106 |    0.120 |     0.106 |        141.508 |        125.522 |         141.563 |
| (128, 4096, 4096, 1)   |    0.032 |    0.119 |     0.035 |        135.061 |         36.000 |         123.018 |
| (128, 10240, 8192, 1)  |    0.123 |    0.123 |     0.111 |        174.552 |        174.063 |         194.293 |
| (128, 8192, 28672, 1)  |    0.315 |    0.411 |     0.359 |        191.061 |        146.135 |         167.459 |
| (128, 8192, 8192, 1)   |    0.104 |    0.121 |     0.103 |        165.025 |        142.144 |         167.141 |
| (128, 28672, 8192, 1)  |    0.397 |    0.377 |     0.365 |        151.427 |        159.460 |         164.600 |
| (2048, 6144, 4096, 1)  |    0.492 |    0.455 |     0.457 |        209.562 |        226.569 |         225.696 |
| (2048, 4096, 14336, 1) |    1.030 |    1.078 |     1.049 |        233.582 |        223.157 |         229.344 |
| (2048, 14336, 4096, 1) |    1.075 |    1.039 |     1.028 |        223.652 |        231.459 |         233.877 |
| (2048, 4096, 4096, 1)  |    0.297 |    0.295 |     0.279 |        231.442 |        233.061 |         245.870 |
| (2048, 10240, 8192, 1) |    1.382 |    1.424 |     1.460 |        248.644 |        241.237 |         235.352 |
| (2048, 8192, 28672, 1) |    3.934 |    4.350 |     3.957 |        244.578 |        221.182 |         243.123 |
| (2048, 8192, 8192, 1)  |    1.166 |    1.176 |     1.192 |        235.795 |        233.670 |         230.531 |
| (2048, 28672, 8192, 1) |    3.930 |    4.346 |     3.890 |        244.824 |        221.371 |         247.336 |
| (4096, 6144, 4096, 1)  |    0.965 |    0.912 |     0.887 |        213.715 |        226.126 |         232.503 |
| (4096, 4096, 14336, 1) |    2.094 |    2.027 |     2.035 |        229.732 |        237.355 |         236.346 |
| (4096, 14336, 4096, 1) |    2.171 |    2.077 |     2.137 |        221.543 |        231.582 |         225.151 |
| (4096, 4096, 4096, 1)  |    0.598 |    0.591 |     0.595 |        229.929 |        232.536 |         231.103 |
| (4096, 10240, 8192, 1) |    2.778 |    2.933 |     2.752 |        247.357 |        234.267 |         249.671 |
| (4096, 8192, 28672, 1) |    8.371 |    9.245 |     8.353 |        229.861 |        208.128 |         230.343 |
| (4096, 8192, 8192, 1)  |    2.545 |    2.443 |     2.351 |        215.973 |        225.001 |         233.876 |
| (4096, 28672, 8192, 1) |    7.959 |    8.813 |     7.855 |        241.768 |        218.340 |         244.957 |
