| mxnxk           |   triton |   cutlass |   hexcute |   flops_triton |   flops_cutlass |   flops_hexcute |
|-----------------|----------|-----------|-----------|----------------|-----------------|-----------------|
| 32x2048x7168    |    0.143 |     0.077 |     0.058 |          6.550 |          12.281 |          16.130 |
| 32x24576x1536   |    0.114 |     0.076 |     0.054 |         21.170 |          31.905 |          45.127 |
| 32x32768x512    |    0.106 |     0.067 |     0.047 |         10.121 |          16.117 |          22.774 |
| 32x4096x7168    |    0.144 |     0.091 |     0.058 |         13.058 |          20.669 |          32.351 |
| 32x7168x2048    |    0.109 |     0.065 |     0.042 |          8.625 |          14.518 |          22.280 |
| 32x4096x16384   |    0.286 |     0.115 |     0.093 |         15.004 |          37.192 |          46.125 |
| 32x4096x4096    |    0.122 |     0.075 |     0.051 |          8.787 |          14.346 |          20.998 |
| 64x2048x7168    |    0.144 |     0.077 |     0.059 |         13.026 |          24.516 |          31.666 |
| 64x24576x1536   |    0.116 |     0.075 |     0.055 |         41.795 |          64.796 |          87.087 |
| 64x32768x512    |    0.107 |     0.066 |     0.048 |         20.110 |          32.479 |          44.978 |
| 64x4096x7168    |    0.144 |     0.091 |     0.059 |         26.048 |          41.270 |          63.382 |
| 64x7168x2048    |    0.109 |     0.064 |     0.043 |         17.299 |          29.279 |          43.726 |
| 64x4096x16384   |    0.284 |     0.117 |     0.100 |         30.205 |          73.300 |          86.017 |
| 64x4096x4096    |    0.124 |     0.076 |     0.052 |         17.347 |          28.135 |          40.921 |
| 128x2048x7168   |    0.145 |     0.076 |     0.060 |         25.971 |          49.249 |          62.894 |
| 128x24576x1536  |    0.139 |     0.077 |     0.063 |         69.429 |         124.732 |         153.039 |
| 128x32768x512   |    0.111 |     0.065 |     0.055 |         38.536 |          65.868 |          78.240 |
| 128x4096x7168   |    0.145 |     0.092 |     0.060 |         51.684 |          81.860 |         125.253 |
| 128x7168x2048   |    0.110 |     0.065 |     0.043 |         34.072 |          57.971 |          86.887 |
| 128x4096x16384  |    0.287 |     0.116 |     0.102 |         59.961 |         148.420 |         169.176 |
| 128x4096x4096   |    0.122 |     0.076 |     0.052 |         35.265 |          56.722 |          82.025 |
| 2048x2048x7168  |    0.318 |     0.179 |     0.143 |        189.017 |         336.621 |         420.012 |
| 2048x24576x1536 |    0.564 |     0.334 |     0.295 |        274.249 |         462.418 |         524.529 |
| 2048x32768x512  |    0.361 |     0.227 |     0.297 |        190.561 |         302.801 |         231.141 |
| 2048x4096x7168  |    0.473 |     0.264 |     0.214 |        254.292 |         455.924 |         562.307 |
| 2048x7168x2048  |    0.281 |     0.166 |     0.137 |        213.782 |         362.718 |         438.574 |
| 2048x4096x16384 |    1.064 |     0.511 |     0.434 |        258.229 |         537.928 |         633.794 |
| 2048x4096x4096  |    0.312 |     0.183 |     0.151 |        220.242 |         374.618 |         455.406 |
| 4096x2048x7168  |    0.496 |     0.274 |     0.212 |        242.503 |         438.658 |         567.720 |
| 4096x24576x1536 |    1.011 |     0.590 |     0.533 |        305.921 |         523.963 |         580.143 |
| 4096x32768x512  |    0.619 |     0.386 |     0.542 |        222.071 |         356.035 |         253.372 |
| 4096x4096x7168  |    0.809 |     0.424 |     0.351 |        297.296 |         566.603 |         685.987 |
| 4096x7168x2048  |    0.453 |     0.266 |     0.230 |        265.672 |         451.753 |         522.263 |
| 4096x4096x16384 |    1.820 |     0.931 |     0.782 |        302.119 |         590.388 |         702.707 |
| 4096x4096x4096  |    0.500 |     0.277 |     0.234 |        274.797 |         495.512 |         586.606 |
