| mxnxk           |   triton |   cublas |   hexcute |   flops_triton |   flops_cublas |   flops_hexcute |
|-----------------|----------|----------|-----------|----------------|----------------|-----------------|
| 32x6144x4096    |    0.162 |    0.091 |     0.053 |          9.918 |         17.754 |          30.610 |
| 32x4096x14336   |    0.222 |    0.135 |     0.096 |         16.904 |         27.737 |          39.244 |
| 32x14336x4096   |    0.200 |    0.132 |     0.073 |         18.786 |         28.363 |          51.411 |
| 32x4096x4096    |    0.149 |    0.075 |     0.046 |          7.184 |         14.302 |          23.119 |
| 32x10240x8192   |    0.230 |    0.156 |     0.097 |         23.301 |         34.437 |          55.542 |
| 32x8192x28672   |    0.418 |    0.365 |     0.210 |         35.936 |         41.142 |          71.476 |
| 32x8192x8192    |    0.214 |    0.143 |     0.086 |         20.065 |         30.077 |          50.113 |
| 32x28672x8192   |    0.398 |    0.325 |     0.192 |         37.791 |         46.309 |          78.413 |
| 64x6144x4096    |    0.163 |    0.093 |     0.053 |         19.716 |         34.745 |          60.330 |
| 64x4096x14336   |    0.230 |    0.129 |     0.096 |         32.750 |         58.253 |          78.295 |
| 64x14336x4096   |    0.204 |    0.133 |     0.073 |         36.829 |         56.357 |         102.595 |
| 64x4096x4096    |    0.152 |    0.074 |     0.045 |         14.158 |         29.008 |          48.089 |
| 64x10240x8192   |    0.232 |    0.160 |     0.095 |         46.309 |         66.951 |         112.886 |
| 64x8192x28672   |    0.419 |    0.366 |     0.208 |         71.747 |         82.244 |         144.259 |
| 64x8192x8192    |    0.217 |    0.141 |     0.085 |         39.581 |         61.032 |         101.378 |
| 64x28672x8192   |    0.409 |    0.329 |     0.189 |         73.585 |         91.378 |         159.200 |
| 128x6144x4096   |    0.175 |    0.095 |     0.065 |         36.876 |         68.123 |          98.876 |
| 128x4096x14336  |    0.228 |    0.160 |     0.105 |         65.973 |         93.866 |         142.488 |
| 128x14336x4096  |    0.206 |    0.139 |     0.096 |         72.941 |        107.964 |         157.209 |
| 128x4096x4096   |    0.165 |    0.077 |     0.049 |         26.037 |         55.500 |          87.915 |
| 128x10240x8192  |    0.236 |    0.165 |     0.129 |         90.865 |        130.523 |         166.938 |
| 128x8192x28672  |    0.429 |    0.381 |     0.304 |        140.230 |        157.690 |         197.859 |
| 128x8192x8192   |    0.218 |    0.146 |     0.114 |         78.718 |        117.824 |         151.216 |
| 128x28672x8192  |    0.412 |    0.344 |     0.272 |        145.867 |        174.785 |         221.193 |
| 2048x6144x4096  |    0.404 |    0.273 |     0.238 |        254.896 |        377.702 |         432.836 |
| 2048x4096x14336 |    0.813 |    0.569 |     0.477 |        295.716 |        422.376 |         504.174 |
| 2048x14336x4096 |    0.750 |    0.499 |     0.506 |        320.693 |        482.071 |         475.706 |
| 2048x4096x4096  |    0.334 |    0.210 |     0.178 |        205.752 |        327.890 |         386.961 |
| 2048x10240x8192 |    1.015 |    0.688 |     0.691 |        338.384 |        499.724 |         497.113 |
| 2048x8192x28672 |    2.665 |    1.811 |     1.853 |        360.976 |        531.206 |         519.111 |
| 2048x8192x8192  |    0.826 |    0.648 |     0.562 |        332.947 |        424.077 |         489.086 |
| 2048x28672x8192 |    2.494 |    1.800 |     1.850 |        385.727 |        534.414 |         520.043 |
| 4096x6144x4096  |    0.650 |    0.440 |     0.433 |        317.169 |        468.534 |         476.124 |
| 4096x4096x14336 |    1.381 |    0.957 |     0.969 |        348.291 |        502.771 |         496.619 |
| 4096x14336x4096 |    1.434 |    0.934 |     0.983 |        335.530 |        514.919 |         489.171 |
| 4096x4096x4096  |    0.486 |    0.336 |     0.311 |        282.753 |        408.808 |         441.797 |
| 4096x10240x8192 |    2.010 |    1.339 |     1.329 |        341.912 |        513.184 |         517.111 |
| 4096x8192x28672 |    4.849 |    3.457 |     3.542 |        396.835 |        556.570 |         543.232 |
| 4096x8192x8192  |    1.472 |    1.048 |     1.064 |        373.511 |        524.488 |         516.515 |
| 4096x28672x8192 |    4.986 |    3.533 |     3.691 |        385.894 |        544.679 |         521.291 |
